year,month,month_name,category,category_es,category_group,category_raw,notes,incident_count,incidents_per_100k,change_vs_prior_year,source
2022,1,January,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,93,31.27,,SESNSP v2
2022,1,January,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,1,January,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",47,15.80,,SESNSP v2
2022,2,February,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,59,19.84,,SESNSP v2
2022,2,February,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,37,12.44,,SESNSP v2
2022,2,February,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,13,4.37,,SESNSP v2
2022,2,February,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,27,9.08,,SESNSP v2
2022,2,February,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,87,29.26,,SESNSP v2
2022,2,February,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,2,February,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,2,February,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,2,February,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,2,February,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,3,1.01,,SESNSP v2
2022,2,February,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,2,February,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,24,8.07,,SESNSP v2
2022,2,February,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,5,1.68,,SESNSP v2
2022,2,February,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,2,February,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,4,1.35,,SESNSP v2
2022,2,February,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,6,2.02,,SESNSP v2
2022,2,February,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,2,February,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,86,28.92,,SESNSP v2
2022,2,February,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",20,6.73,,SESNSP v2
2022,2,February,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",43,14.46,,SESNSP v2
2022,3,March,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,66,22.19,,SESNSP v2
2022,3,March,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,34,11.43,,SESNSP v2
2022,3,March,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,12,4.04,,SESNSP v2
2022,3,March,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,24,8.07,,SESNSP v2
2022,3,March,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,92,30.94,,SESNSP v2
2022,3,March,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,3,March,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,3,March,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,3,March,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,3,March,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,3,1.01,,SESNSP v2
2022,3,March,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,3,March,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,22,7.40,,SESNSP v2
2022,3,March,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,5,1.68,,SESNSP v2
2022,3,March,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,3,March,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,5,1.68,,SESNSP v2
2022,3,March,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,6,2.02,,SESNSP v2
2022,3,March,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,3,March,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,79,26.57,,SESNSP v2
2022,3,March,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,3,March,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",43,14.46,,SESNSP v2
2022,4,April,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,69,23.20,,SESNSP v2
2022,4,April,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,28,9.42,,SESNSP v2
2022,4,April,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,11,3.70,,SESNSP v2
2022,4,April,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,23,7.73,,SESNSP v2
2022,4,April,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,92,30.94,,SESNSP v2
2022,4,April,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,4,April,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,4,April,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,4,April,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,4,April,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,3,1.01,,SESNSP v2
2022,4,April,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,4,April,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,21,7.06,,SESNSP v2
2022,4,April,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,5,1.68,,SESNSP v2
2022,4,April,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,4,April,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,5,1.68,,SESNSP v2
2022,4,April,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,6,2.02,,SESNSP v2
2022,4,April,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,4,April,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,68,22.87,,SESNSP v2
2022,4,April,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,4,April,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",43,14.46,,SESNSP v2
2022,5,May,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,73,24.55,,SESNSP v2
2022,5,May,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,25,8.41,,SESNSP v2
2022,5,May,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,10,3.36,,SESNSP v2
2022,5,May,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,22,7.40,,SESNSP v2
2022,5,May,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,87,29.26,,SESNSP v2
2022,5,May,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,5,May,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,5,May,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,5,May,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,5,May,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,3,1.01,,SESNSP v2
2022,5,May,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,5,May,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,20,6.73,,SESNSP v2
2022,5,May,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,6,2.02,,SESNSP v2
2022,5,May,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,5,May,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,5,1.68,,SESNSP v2
2022,5,May,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,7,2.35,,SESNSP v2
2022,5,May,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,5,May,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,61,20.51,,SESNSP v2
2022,5,May,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,5,May,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",41,13.79,,SESNSP v2
2022,6,June,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,76,25.56,,SESNSP v2
2022,6,June,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,23,7.73,,SESNSP v2
2022,6,June,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,9,3.03,,SESNSP v2
2022,6,June,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,21,7.06,,SESNSP v2
2022,6,June,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,92,30.94,,SESNSP v2
2022,6,June,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",6,2.02,,SESNSP v2
2022,6,June,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,6,June,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,6,June,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,6,June,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,4,1.35,,SESNSP v2
2022,6,June,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,6,June,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,19,6.39,,SESNSP v2
2022,6,June,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,6,2.02,,SESNSP v2
2022,6,June,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,6,June,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,6,2.02,,SESNSP v2
2022,6,June,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,8,2.69,,SESNSP v2
2022,6,June,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,6,June,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,57,19.17,,SESNSP v2
2022,6,June,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,6,June,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",39,13.11,,SESNSP v2
2022,7,July,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,80,26.90,,SESNSP v2
2022,7,July,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,25,8.41,,SESNSP v2
2022,7,July,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,10,3.36,,SESNSP v2
2022,7,July,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,22,7.40,,SESNSP v2
2022,7,July,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,96,32.28,,SESNSP v2
2022,7,July,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,7,July,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,7,July,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,7,July,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,7,July,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,4,1.35,,SESNSP v2
2022,7,July,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,7,July,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,20,6.73,,SESNSP v2
2022,7,July,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,6,2.02,,SESNSP v2
2022,7,July,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,7,July,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,6,2.02,,SESNSP v2
2022,7,July,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,8,2.69,,SESNSP v2
2022,7,July,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,7,July,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,61,20.51,,SESNSP v2
2022,7,July,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,7,July,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",39,13.11,,SESNSP v2
2022,8,August,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,76,25.56,,SESNSP v2
2022,8,August,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,27,9.08,,SESNSP v2
2022,8,August,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,11,3.70,,SESNSP v2
2022,8,August,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,22,7.40,,SESNSP v2
2022,8,August,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,96,32.28,,SESNSP v2
2022,8,August,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,8,August,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,8,August,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,8,August,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,8,August,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,3,1.01,,SESNSP v2
2022,8,August,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,8,August,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,20,6.73,,SESNSP v2
2022,8,August,Other Sexual Crimes,Otros Delitos Sexuales,Sexual Crime,Otros delitos vs libertad sexual,Residual SESNSP sexual offense category.,6,2.02,,SESNSP v2
2022,8,August,Property Damage,Daño a la Propiedad,Property Crime,Daño a la propiedad,Criminal property damage (daño en propiedad ajena per SESNSP).,14,4.71,,SESNSP v2
2022,8,August,Rape,Violación,Sexual Crime,Violación simple / equiparada,Reported cases only. High underreporting estimated.,5,1.68,,SESNSP v2
2022,8,August,Sexual Abuse,Abuso Sexual,Sexual Crime,Abuso sexual,Non-penetrative sexual offenses. Separate from rape per SESNSP.,7,2.35,,SESNSP v2
2022,8,August,Sexual Harassment,Acoso/Hostigamiento Sexual,Sexual Crime,Acoso/Hostigamiento sexual,Includes acoso (unwanted attention) and hostigamiento (power-based).,2,0.67,,SESNSP v2
2022,8,August,Street Robbery,Robo a Transeúnte,Property Crime,Robo a transeúnte en vía pública,Muggings in public spaces. Includes violent and non-violent.,64,21.52,,SESNSP v2
2022,8,August,Threats,Amenazas,Domestic & Social,Amenazas,"Criminal threats, including digital and telephone threats when reported.",21,7.06,,SESNSP v2
2022,8,August,Vehicle Theft,Robo de Vehículo,Property Crime,Robo de vehículo automotor,"Cars, motorcycles, and trucks. All vehicle theft subtypes aggregated.",41,13.79,,SESNSP v2
2022,9,September,Assault / Bodily Harm,Lesiones Dolosas,Violent Crime,Lesiones dolosas,Intentional bodily harm. Traffic injuries (culposas) excluded.,68,22.87,,SESNSP v2
2022,9,September,Burglary (Non-Violent),Robo a Casa sin Violencia,Property Crime,Robo a casa habitación sin violencia,Home break-ins when occupants absent. Peak during tourist rental season.,22,7.40,,SESNSP v2
2022,9,September,Burglary (Violent),Robo a Casa con Violencia,Property Crime,Robo a casa habitación con violencia,Home break-ins with occupants present and threatened or harmed.,11,3.70,,SESNSP v2
2022,9,September,Business Robbery,Robo a Negocio,Property Crime,Robo a negocio,Commercial establishment robberies. Includes violent and non-violent.,23,7.73,,SESNSP v2
2022,9,September,Domestic Violence,Violencia Familiar,Domestic & Social,Violencia familiar,Most reported offense in PV. Includes physical and psychological violence.,93,31.27,,SESNSP v2
2022,9,September,Drug Dealing,Narcomenudeo,Federal / Drug Crime,Narcomenudeo,"Retail drug sales (fuero federal). Represents enforcement, not prevalence.",7,2.35,,SESNSP v2
2022,9,September,Extortion,Extorsión,Violent Crime,Extorsión,Includes cobro de piso and telephone extortion. Highly underreported.,3,1.01,,SESNSP v2
2022,9,September,Femicide,Feminicidio,Violent Crime,Feminicidio,Gender-motivated killings. Separate SESNSP category since 2019.,0,0.00,,SESNSP v2
2022,9,September,Fraud,Fraude,Property Crime,Fraude,"Real estate fraud, rental scams, digital fraud. Rising with online commerce.",21,7.06,,SESNSP v2
2022,9,September,Homicide,Homicidio Doloso,Violent Crime,Homicidio doloso,Intentional homicides only (doloso). Negligent homicide excluded per SESNSP.,4,1.35,,SESNSP v2
2022,9,September,Kidnapping,Secuestro,Violent Crime,Secuestro,Rare in PV. Includes express and extortive kidnapping.,0,0.00,,SESNSP v2
2022,9,September,Other Robbery,Otros Robos,Property Crime,Otros robos,SESNSP catch-all robbery subtype not in specific robbery categories.,21,7.06,,SESNSP v2
